Robot0
0	0	0	0	0	0	0	0	0	1	7	8	7	14	18	18	11	14	12	12	8	8	6	13	23	25	15	11	12	8	2	0	

0	2	1	1	0	0	0	0	0	0	11	20	17	25	20	17	16	22	14	16	9	8	11	14	17	14	13	15	14	12	2	0	

2	4	1	2	2	1	0	0	0	2	10	21	22	28	23	17	24	26	15	12	7	8	7	5	14	11	20	16	16	13	0	0	

3	3	1	0	0	0	0	0	1	4	9	17	22	30	33	33	38	37	23	17	8	11	13	6	12	14	24	17	17	10	2	0	

6	5	2	1	0	1	2	4	1	7	18	19	21	39	36	19	21	19	13	11	8	7	10	9	15	11	19	14	12	10	3	0	

12	10	4	3	1	1	4	11	10	9	19	22	27	33	33	28	28	24	11	10	2	1	2	7	13	12	22	13	14	12	6	2	

10	12	6	0	2	2	2	4	11	13	19	20	22	20	24	26	24	28	9	11	6	2	2	9	7	8	14	10	14	13	9	2	

7	11	14	9	4	5	3	5	10	7	16	18	16	11	20	13	14	20	6	4	8	6	5	12	7	6	5	3	7	13	13	4	

13	14	13	16	12	8	8	10	18	12	6	10	19	11	17	13	14	17	7	5	8	10	3	3	3	3	3	5	8	12	11	4	

12	19	13	16	14	9	11	12	20	19	12	16	20	17	15	13	16	19	14	14	11	10	7	3	2	4	9	11	7	6	5	2	

9	25	17	18	19	15	20	17	25	20	20	28	25	23	21	20	20	20	14	14	11	6	7	6	3	2	5	9	14	19	14	10	

4	16	14	14	18	15	20	16	23	17	22	23	20	20	30	22	15	16	16	18	19	7	5	8	6	4	5	5	9	14	9	6	

5	12	17	23	17	23	25	18	29	26	20	11	12	12	32	17	14	11	9	9	10	4	1	9	8	3	3	4	5	6	7	4	

10	18	25	35	17	16	21	11	16	18	13	11	13	5	13	9	12	15	10	5	4	4	6	10	7	5	6	3	4	5	1	2	

10	18	13	11	15	15	18	6	4	8	6	6	6	3	6	5	8	12	11	6	7	4	7	7	5	6	4	4	5	3	5	3	

17	29	21	10	18	16	17	13	9	7	6	6	8	8	6	5	7	13	20	8	11	9	4	4	5	8	5	6	6	6	7	5	

17	20	16	20	26	19	19	13	10	10	9	9	8	7	7	4	8	13	20	9	7	8	6	4	4	10	8	7	8	7	5	4	

